timestamp clientname srvname delta delta_prec
1718467768.969624 medion ts2.univie.ac.at -0.345880 0.005521
1718467779.267056 medion ts2.univie.ac.at -0.344902 0.005910
1718467789.692149 medion ts2.univie.ac.at -0.345771 0.005428
1718467799.983051 medion ts2.univie.ac.at -0.343094 0.008232
1718467810.267098 medion ts2.univie.ac.at -0.342295 0.008637
1718467820.535596 medion ts2.univie.ac.at -0.343121 0.007897
1718467830.807718 medion ts2.univie.ac.at -0.345626 0.004874
1718467841.97872 medion ts2.univie.ac.at -0.344549 0.006575
1718467851.398745 medion ts2.univie.ac.at -0.344728 0.006421
1718467861.704471 medion ts2.univie.ac.at -0.345438 0.004725
1718467872.6498 medion ts2.univie.ac.at -0.343937 0.007013
1718467882.297206 medion ts2.univie.ac.at -0.343815 0.006137
1718467892.599599 medion ts2.univie.ac.at -0.344740 0.005895
1718467902.903776 medion ts2.univie.ac.at -0.341472 0.008387
1718467913.201626 medion ts2.univie.ac.at -0.342579 0.008406
1718467923.497307 medion ts2.univie.ac.at -0.342144 0.007826
1718467933.788947 medion ts2.univie.ac.at -0.342582 0.008255
1718467944.80938 medion ts2.univie.ac.at -0.344397 0.007872
1718467954.366239 medion ts2.univie.ac.at -0.344258 0.006331
1718467964.659786 medion ts2.univie.ac.at -0.343210 0.006916
1718467974.95323 medion ts2.univie.ac.at -0.343255 0.007187
1718467985.246687 medion ts2.univie.ac.at -0.345033 0.004845
1718467995.537798 medion ts2.univie.ac.at -0.343167 0.007136
1718468005.82779 medion ts2.univie.ac.at -0.344596 0.005529
1718468016.117549 medion ts2.univie.ac.at -0.343952 0.006198
1718468026.408295 medion ts2.univie.ac.at -0.343034 0.006787
1718468036.69402 medion ts2.univie.ac.at -0.343333 0.006640
1718468046.975458 medion ts2.univie.ac.at -0.343233 0.006232
1718468057.283904 medion ts2.univie.ac.at -0.342208 0.007831
1718468067.577983 medion ts2.univie.ac.at -0.343359 0.006201
1718468077.881852 medion ts2.univie.ac.at +0.002361 0.007226
1718468088.181872 medion ts2.univie.ac.at +0.000651 0.007478
1718468098.482191 medion ts2.univie.ac.at +0.001206 0.005421
1718468108.786279 medion ts2.univie.ac.at +0.007212 0.014240
1718468119.74549 medion ts2.univie.ac.at +0.001585 0.006589
1718468129.368069 medion ts2.univie.ac.at +0.004207 0.008237
1718468139.648569 medion ts2.univie.ac.at +0.001238 0.005914
1718468149.97682 medion ts2.univie.ac.at +0.002648 0.007445
1718468160.269596 medion ts2.univie.ac.at +0.002431 0.007186
1718468170.567422 medion ts2.univie.ac.at +0.002102 0.007354
1718468180.852533 medion ts2.univie.ac.at +0.000518 0.007402
1718468191.148611 medion ts2.univie.ac.at +0.000094 0.005211
1718468201.443421 medion ts2.univie.ac.at +0.000187 0.005449
1718468211.733425 medion ts2.univie.ac.at +0.004127 0.010404
1718468222.24085 medion ts2.univie.ac.at +0.000848 0.005845
1718468232.309605 medion ts2.univie.ac.at +0.000637 0.005598
1718468242.604392 medion ts2.univie.ac.at +0.000466 0.004496
1718468252.902311 medion ts2.univie.ac.at +0.003356 0.008516
1718468263.202119 medion ts2.univie.ac.at +0.001921 0.006233
1718468273.49105 medion ts2.univie.ac.at +0.001905 0.006451
1718468283.783818 medion ts2.univie.ac.at +0.001939 0.006611
1718468294.84459 medion ts2.univie.ac.at +0.003864 0.009147
1718468304.392149 medion ts2.univie.ac.at +0.003636 0.011282
1718468314.692822 medion ts2.univie.ac.at +0.002293 0.007652
1718468324.994863 medion ts2.univie.ac.at +0.003560 0.007932
1718468335.291221 medion ts2.univie.ac.at +0.001576 0.005754
1718468345.581721 medion ts2.univie.ac.at +0.003398 0.007799
1718468355.874705 medion ts2.univie.ac.at +0.004370 0.009061
1718468366.176446 medion ts2.univie.ac.at -0.000845 0.006690
1718468376.47547 medion ts2.univie.ac.at +0.003163 0.008521
1718468386.774856 medion ts2.univie.ac.at +0.002121 0.007970
1718468397.63794 medion ts2.univie.ac.at -0.000380 0.005711
1718468407.357404 medion ts2.univie.ac.at -0.000913 0.005686
1718468417.668452 medion ts2.univie.ac.at -0.000503 0.006343
1718468427.970567 medion ts2.univie.ac.at +0.002582 0.008684
1718468438.278389 medion ts2.univie.ac.at +0.000293 0.007796
1718468448.575039 medion ts2.univie.ac.at -0.000305 0.007084
1718468458.863674 medion ts2.univie.ac.at -0.002880 0.007061
1718468469.167576 medion ts2.univie.ac.at -0.001879 0.005909
1718468479.471494 medion ts2.univie.ac.at +0.000737 0.009120
1718468489.764523 medion ts2.univie.ac.at -0.001487 0.006665
1718468500.58285 medion ts2.univie.ac.at +0.000687 0.009399
1718468510.350036 medion ts2.univie.ac.at -0.003954 0.007068
1718468520.647943 medion ts2.univie.ac.at -0.001205 0.005986
1718468530.948419 medion ts2.univie.ac.at -0.002273 0.005702
1718468541.236941 medion ts2.univie.ac.at -0.002095 0.004856
