timestamp clientname srvname delta delta_prec
1718467763.0 Lenovo srv_addr -4.889019 0.06558
1718467773.0 Lenovo srv_addr -4.894980 0.05193
1718467783.0 Lenovo srv_addr -4.914294 0.08659
1718467794.0 Lenovo srv_addr -4.917928 0.07831
1718467804.0 Lenovo srv_addr -4.911182 0.05476
1718467814.0 Lenovo srv_addr -4.919719 0.06375
1718467824.0 Lenovo srv_addr -4.922755 0.05444
1718467834.0 Lenovo srv_addr -4.922517 0.05046
1718467844.0 Lenovo srv_addr -4.928728 0.05809
1718467854.0 Lenovo srv_addr -4.933507 0.05315
1718467865.0 Lenovo srv_addr -4.940730 0.05428
1718467875.0 Lenovo srv_addr -4.948325 0.05464
1718467885.0 Lenovo srv_addr -4.951199 0.05415
1718467895.0 Lenovo srv_addr -4.952956 0.05489
1718467905.0 Lenovo srv_addr -4.957304 0.04391
1718467915.0 Lenovo srv_addr -4.972970 0.06299
1718467925.0 Lenovo srv_addr -4.966338 0.04848
1718467936.0 Lenovo srv_addr -4.977073 0.04616
1718467946.0 Lenovo srv_addr -4.991370 0.06877
1718467956.0 Lenovo srv_addr -4.986254 0.05478
1718467966.0 Lenovo srv_addr -4.996939 0.05464
1718467976.0 Lenovo srv_addr -4.996514 0.05443
1718467986.0 Lenovo srv_addr -5.003377 0.05438
1718467996.0 Lenovo srv_addr -5.005237 0.05443
1718468007.0 Lenovo srv_addr -5.005971 0.05440
1718468017.0 Lenovo srv_addr -5.016972 0.04765
1718468027.0 Lenovo srv_addr -5.008839 0.06386
1718468037.0 Lenovo srv_addr -5.030176 0.05132
1718468047.0 Lenovo srv_addr -5.035381 0.05447
1718468057.0 Lenovo srv_addr -5.039232 0.05486
1718468067.0 Lenovo srv_addr -5.044113 0.05373
1718468078.0 Lenovo srv_addr -5.044511 0.05399
1718468088.0 Lenovo srv_addr -5.054756 0.05455
1718468098.0 Lenovo srv_addr -5.055564 0.05367
1718468108.0 Lenovo srv_addr -5.064260 0.05444
1718468118.0 Lenovo srv_addr -5.072165 0.05408
1718468128.0 Lenovo srv_addr -5.075475 0.05400
1718468138.0 Lenovo srv_addr -5.083434 0.05478
1718468149.0 Lenovo srv_addr -5.085988 0.05423
1718468159.0 Lenovo srv_addr -5.091600 0.05376
1718468169.0 Lenovo srv_addr -5.095965 0.05325
1718468179.0 Lenovo srv_addr -5.101700 0.05446
1718468189.0 Lenovo srv_addr -5.103824 0.05421
1718468199.0 Lenovo srv_addr -5.115744 0.05431
1718468209.0 Lenovo srv_addr -5.119179 0.05354
1718468220.0 Lenovo srv_addr -5.124358 0.05399
1718468230.0 Lenovo srv_addr -5.128249 0.05443
1718468240.0 Lenovo srv_addr -5.134413 0.05421
1718468250.0 Lenovo srv_addr -5.137216 0.05243
1718468260.0 Lenovo srv_addr -5.227393 0.23221
1718468270.0 Lenovo srv_addr -5.152228 0.05424
1718468281.0 Lenovo srv_addr -5.153157 0.05435
1718468291.0 Lenovo srv_addr -5.162181 0.05415
1718468301.0 Lenovo srv_addr -5.163277 0.05400
1718468311.0 Lenovo srv_addr -5.166188 0.05284
1718468321.0 Lenovo srv_addr -5.171595 0.05482
1718468332.0 Lenovo srv_addr -5.339666 0.36359
1718468342.0 Lenovo srv_addr -5.189741 0.05408
1718468352.0 Lenovo srv_addr -5.194274 0.05478
1718468362.0 Lenovo srv_addr -5.198212 0.05225
1718468372.0 Lenovo srv_addr -5.201582 0.05423
1718468382.0 Lenovo srv_addr -5.204199 0.05582
1718468392.0 Lenovo srv_addr -5.211916 0.05441
1718468403.0 Lenovo srv_addr -5.221660 0.05615
1718468413.0 Lenovo srv_addr -5.219931 0.03925
1718468423.0 Lenovo srv_addr -5.218076 0.04703
1718468433.0 Lenovo srv_addr -5.224174 0.04326
1718468443.0 Lenovo srv_addr -5.257049 0.08372
1718468453.0 Lenovo srv_addr -5.238632 0.03902
1718468463.0 Lenovo srv_addr -5.241953 0.04099
1718468474.0 Lenovo srv_addr -5.268088 0.08484
1718468484.0 Lenovo srv_addr -5.255450 0.04066
1718468494.0 Lenovo srv_addr -5.294086 0.16898
1718468504.0 Lenovo srv_addr -5.309507 0.15683
1718468514.0 Lenovo srv_addr -5.271896 0.05417
1718468525.0 Lenovo srv_addr -5.281204 0.05386
1718468535.0 Lenovo srv_addr -5.279776 0.05418
1718468545.0 Lenovo srv_addr -5.290297 0.05539
1718468555.0 Lenovo srv_addr -5.298368 0.05173
1718468565.0 Lenovo srv_addr -5.300557 0.05365
1718468575.0 Lenovo srv_addr -5.305963 0.05264
1718468585.0 Lenovo srv_addr -5.307156 0.05429
1718468596.0 Lenovo srv_addr -5.319413 0.05437
1718468606.0 Lenovo srv_addr -5.324843 0.05693
1718468616.0 Lenovo srv_addr -5.327100 0.05464
1718468626.0 Lenovo srv_addr -5.334198 0.05505
1718468636.0 Lenovo srv_addr -5.339096 0.05325
1718468646.0 Lenovo srv_addr -5.333992 0.05348
1718468656.0 Lenovo srv_addr -5.345026 0.05409
1718468667.0 Lenovo srv_addr -5.350791 0.05470
1718468677.0 Lenovo srv_addr -5.356012 0.05421
1718468687.0 Lenovo srv_addr -5.362964 0.05568
1718468697.0 Lenovo srv_addr -5.372933 0.05690
1718468707.0 Lenovo srv_addr -5.379911 0.05495
1718468717.0 Lenovo srv_addr -5.376562 0.05205
1718468727.0 Lenovo srv_addr -5.390825 0.05536
1718468738.0 Lenovo srv_addr -5.390485 0.05154
1718468748.0 Lenovo srv_addr -5.399308 0.05408
1718468758.0 Lenovo srv_addr -5.403893 0.05373
1718468768.0 Lenovo srv_addr -5.403433 0.05409
1718468778.0 Lenovo srv_addr -5.412625 0.05542
1718468788.0 Lenovo srv_addr -5.411744 0.05583
1718468798.0 Lenovo srv_addr -5.418560 0.05176
1718468809.0 Lenovo srv_addr -5.428198 0.05420
1718468819.0 Lenovo srv_addr -5.435155 0.05299
1718468829.0 Lenovo srv_addr -5.436730 0.05421
1718468839.0 Lenovo srv_addr -5.478494 0.15761
1718468849.0 Lenovo srv_addr -5.451605 0.05304
1718468859.0 Lenovo srv_addr -5.492296 0.13008
1718468870.0 Lenovo srv_addr -5.490840 0.15694
1718468880.0 Lenovo srv_addr -5.468924 0.05434
1718468890.0 Lenovo srv_addr -5.468428 0.05258
1718468900.0 Lenovo srv_addr -5.477479 0.05563
1718468910.0 Lenovo srv_addr -5.481296 0.05304
1718468920.0 Lenovo srv_addr -5.482787 0.05168
1718468931.0 Lenovo srv_addr -5.492907 0.05597
1718468941.0 Lenovo srv_addr -5.494878 0.05437
1718468951.0 Lenovo srv_addr -5.501162 0.05424
1718468961.0 Lenovo srv_addr -5.509051 0.05388
1718468971.0 Lenovo srv_addr -5.511394 0.05331
1718468981.0 Lenovo srv_addr -5.539244 0.09636
1718468992.0 Lenovo srv_addr -5.527489 0.06636
1718469002.0 Lenovo srv_addr -5.530310 0.05742
1718469012.0 Lenovo srv_addr -5.531714 0.04973
1718469022.0 Lenovo srv_addr -5.539728 0.05139
1718469032.0 Lenovo srv_addr -5.538203 0.03928
1718469042.0 Lenovo srv_addr -5.546858 0.04321
1718469052.0 Lenovo srv_addr -5.565318 0.07256
1718469063.0 Lenovo srv_addr -5.567820 0.06506
1718469073.0 Lenovo srv_addr -5.566224 0.05148
1718469083.0 Lenovo srv_addr -5.562940 0.05394
1718469093.0 Lenovo srv_addr -5.574121 0.05434
1718469103.0 Lenovo srv_addr -5.610981 0.11961
1718469113.0 Lenovo srv_addr -5.585165 0.05257
1718469124.0 Lenovo srv_addr -5.618514 0.15523
1718469134.0 Lenovo srv_addr -5.595238 0.05229
1718469144.0 Lenovo srv_addr -5.601566 0.05612
1718469154.0 Lenovo srv_addr -5.608977 0.05435
1718469164.0 Lenovo srv_addr -5.614400 0.05446
1718469174.0 Lenovo srv_addr -5.621831 0.05702
1718469184.0 Lenovo srv_addr -5.622701 0.04962
1718469195.0 Lenovo srv_addr -5.626675 0.05434
1718469205.0 Lenovo srv_addr -5.632737 0.05872
1718469215.0 Lenovo srv_addr -5.626208 0.04961
1718469225.0 Lenovo srv_addr -5.636750 0.05396
1718469235.0 Lenovo srv_addr -5.645101 0.05414
1718469245.0 Lenovo srv_addr -5.652156 0.04584
1718469255.0 Lenovo srv_addr -5.664264 0.06322
1718469266.0 Lenovo srv_addr -5.661162 0.05620
1718469276.0 Lenovo srv_addr -5.715060 0.14735
1718469286.0 Lenovo srv_addr -5.676391 0.05261
1718469296.0 Lenovo srv_addr -5.683271 0.05444
1718469306.0 Lenovo srv_addr -5.687116 0.05557
1718469316.0 Lenovo srv_addr -5.696629 0.07141
1718469327.0 Lenovo srv_addr -5.736233 0.13988
1718469337.0 Lenovo srv_addr -5.699545 0.05276
1718469347.0 Lenovo srv_addr -5.709989 0.05612
1718469357.0 Lenovo srv_addr -5.715107 0.05804
1718469367.0 Lenovo srv_addr -5.711441 0.04881
1718469377.0 Lenovo srv_addr -5.721330 0.05557
1718469388.0 Lenovo srv_addr -5.728681 0.05243
1718469398.0 Lenovo srv_addr -5.734984 0.05370
1718469408.0 Lenovo srv_addr -5.736638 0.05212
1718469418.0 Lenovo srv_addr -5.741017 0.05400
1718469428.0 Lenovo srv_addr -5.745923 0.05411
1718469438.0 Lenovo srv_addr -5.752229 0.05435
1718469448.0 Lenovo srv_addr -5.761272 0.05583
1718469459.0 Lenovo srv_addr -5.753962 0.04396
1718469469.0 Lenovo srv_addr -5.814139 0.14206
1718469479.0 Lenovo srv_addr -5.772089 0.05292
1718469489.0 Lenovo srv_addr -5.780548 0.05402
1718469499.0 Lenovo srv_addr -5.787328 0.05380
1718469509.0 Lenovo srv_addr -5.789744 0.05511
1718469519.0 Lenovo srv_addr -5.794231 0.05240
1718469530.0 Lenovo srv_addr -5.801913 0.05537
1718469540.0 Lenovo srv_addr -5.806481 0.05240
1718469550.0 Lenovo srv_addr -5.804793 0.05447
1718469560.0 Lenovo srv_addr -5.817022 0.05460
1718469570.0 Lenovo srv_addr -5.823026 0.05434
1718469580.0 Lenovo srv_addr -5.825118 0.05423
1718469590.0 Lenovo srv_addr -5.834528 0.05640
1718469601.0 Lenovo srv_addr -5.840479 0.05394
1718469611.0 Lenovo srv_addr -5.844984 0.05331
1718469621.0 Lenovo srv_addr -5.845044 0.05623
1718469631.0 Lenovo srv_addr -5.842103 0.04932
1718469641.0 Lenovo srv_addr -5.857465 0.05362
1718469651.0 Lenovo srv_addr -5.859825 0.05325
1718469661.0 Lenovo srv_addr -5.863999 0.05919
1718469672.0 Lenovo srv_addr -5.868975 0.04652
1718469682.0 Lenovo srv_addr -5.875301 0.05305
1718469692.0 Lenovo srv_addr -5.884079 0.05363
1718469702.0 Lenovo srv_addr -5.889101 0.05620
1718469712.0 Lenovo srv_addr -5.896767 0.05457
1718469722.0 Lenovo srv_addr -5.897960 0.05325
1718469732.0 Lenovo srv_addr -5.903545 0.05423
1718469743.0 Lenovo srv_addr -5.911196 0.05469
1718469753.0 Lenovo srv_addr -5.907528 0.04915
1718469763.0 Lenovo srv_addr -5.923186 0.05392
1718469773.0 Lenovo srv_addr -5.962932 0.12973
1718469783.0 Lenovo srv_addr -5.929191 0.05066
1718469793.0 Lenovo srv_addr -5.938071 0.05385
1718469804.0 Lenovo srv_addr -5.948572 0.06128
1718469814.0 Lenovo srv_addr -5.942569 0.04779
1718469824.0 Lenovo srv_addr -5.954586 0.05705
1718469834.0 Lenovo srv_addr -5.960959 0.05862
1718469844.0 Lenovo srv_addr -5.953227 0.04776
1718469854.0 Lenovo srv_addr -5.965543 0.05432
1718469864.0 Lenovo srv_addr -5.971965 0.05408
1718469875.0 Lenovo srv_addr -5.978496 0.05206
1718469885.0 Lenovo srv_addr -5.980408 0.05699
1718469895.0 Lenovo srv_addr -5.988797 0.05261
