timestamp clientname srvname delta delta_prec
1718467758.986 Samsung greater-demon 0.498184 0.191005
1718467769.126 Samsung greater-demon 0.545564 0.075318
1718467779.202 Samsung greater-demon 0.514869 0.014548
1718467789.397 Samsung greater-demon 0.568943 0.122647
1718467799.534 Samsung greater-demon 0.542220 0.068686
1718467809.674 Samsung greater-demon 0.548215 0.081255
1718467819.813 Samsung greater-demon 0.547111 0.081186
1718467829.949 Samsung greater-demon 0.546103 0.077535
1718467840.086 Samsung greater-demon 0.544706 0.076110
1718467850.225 Samsung greater-demon 0.547388 0.080386
1718467860.364 Samsung greater-demon 0.546396 0.080466
1718467870.501 Samsung greater-demon 0.545800 0.077997
1718467880.637 Samsung greater-demon 0.544502 0.076720
1718467890.773 Samsung greater-demon 0.545436 0.074802
1718467900.913 Samsung greater-demon 0.547512 0.079641
1718467911.052 Samsung greater-demon 0.545966 0.078543
1718467921.189 Samsung greater-demon 0.544025 0.073050
1718467931.327 Samsung greater-demon 0.545419 0.077256
1718467941.466 Samsung greater-demon 0.543641 0.075300
1718467951.6 Samsung greater-demon 0.544755 0.076189
1718467961.738 Samsung greater-demon 0.545476 0.077983
1718467971.875 Samsung greater-demon 0.545476 0.076434
1718467982.014 Samsung greater-demon 0.543788 0.075070
1718467992.15 Samsung greater-demon 0.549915 0.084459
1718468002.291 Samsung greater-demon 0.546916 0.080967
1718468012.428 Samsung greater-demon 0.545845 0.077092
1718468022.565 Samsung greater-demon 0.543018 0.074422
1718468032.702 Samsung greater-demon 0.545168 0.077774
1718468042.839 Samsung greater-demon 0.544693 0.076077
1718468052.979 Samsung greater-demon 0.545765 0.077718
1718468063.116 Samsung greater-demon 0.543904 0.077273
1718468837.779 Samsung greater-demon 0.182068 0.034362
1718468847.92 Samsung greater-demon 0.204157 0.080034
1718468858.053 Samsung greater-demon 0.202993 0.074240
1718468868.195 Samsung greater-demon 0.204203 0.079673
1718468878.331 Samsung greater-demon 0.204013 0.076408
1718468888.47 Samsung greater-demon 0.204731 0.079241
1718468898.605 Samsung greater-demon 0.202410 0.073777
1718468908.745 Samsung greater-demon 0.204343 0.078048
1718468918.882 Samsung greater-demon 0.204114 0.075795
1718468929.021 Samsung greater-demon 0.204562 0.079815
1718468939.156 Samsung greater-demon 0.203683 0.075521
1718468949.294 Samsung greater-demon 0.204368 0.077011
1718468959.433 Samsung greater-demon 0.206230 0.079328
1718468969.575 Samsung greater-demon 0.204847 0.081681
1718468979.71 Samsung greater-demon 0.198440 0.071427
1718468989.844 Samsung greater-demon 0.199068 0.073636
1718468999.982 Samsung greater-demon 0.201854 0.079196
1718469010.124 Samsung greater-demon 0.199652 0.077660
1718469020.257 Samsung greater-demon 0.200348 0.074870
1718469030.399 Samsung greater-demon 0.201750 0.080720
1718469040.536 Samsung greater-demon 0.200692 0.077124
1718469050.672 Samsung greater-demon 0.197936 0.072632
1718469060.808 Samsung greater-demon 0.200545 0.074486
1718469070.946 Samsung greater-demon 0.200476 0.076013
1718469081.084 Samsung greater-demon 0.202250 0.079740
1718469091.222 Samsung greater-demon 0.200103 0.074825
1718469101.36 Samsung greater-demon 0.200747 0.077832
1718469111.497 Samsung greater-demon 0.198753 0.071951
1718469121.634 Samsung greater-demon 0.199673 0.073278
1718469131.774 Samsung greater-demon 0.198539 0.071469
1718469141.91 Samsung greater-demon 0.199704 0.074416
1718469152.05 Samsung greater-demon 0.201588 0.078413
1718469162.186 Samsung greater-demon 0.200504 0.075509
1718469172.325 Samsung greater-demon 0.201772 0.076872
1718469182.464 Samsung greater-demon 0.200627 0.077060
1718469192.598 Samsung greater-demon 0.198471 0.070519
1718469202.738 Samsung greater-demon 0.203053 0.078744
1718469212.874 Samsung greater-demon 0.200997 0.076888
1718469223.011 Samsung greater-demon 0.201772 0.077156
1718469233.152 Samsung greater-demon 0.202284 0.078785
1718469243.288 Samsung greater-demon 0.199910 0.074545
1718469253.426 Samsung greater-demon 0.201003 0.073662
1718469263.563 Samsung greater-demon 0.200924 0.075834
1718469273.7 Samsung greater-demon 0.202167 0.078016
1718469283.84 Samsung greater-demon 0.202979 0.079756
1718469293.977 Samsung greater-demon 0.199061 0.073656
1718469304.116 Samsung greater-demon 0.202656 0.078580
1718469314.251 Samsung greater-demon 0.200267 0.072305
1718469324.388 Samsung greater-demon 0.202776 0.076203
1718469334.528 Samsung greater-demon 0.204495 0.083244
1718469344.665 Samsung greater-demon 0.201129 0.074805
1718469354.739 Samsung greater-demon 0.172609 0.016742
1718469364.84 Samsung greater-demon 0.183985 0.040182
1718469374.975 Samsung greater-demon 0.201528 0.074566
1718469385.115 Samsung greater-demon 0.204696 0.081151
1718469395.252 Samsung greater-demon 0.200845 0.074811
1718469405.391 Samsung greater-demon 0.203548 0.078243
1718469415.526 Samsung greater-demon 0.199418 0.070347
1718469425.666 Samsung greater-demon 0.203190 0.077092
1718469435.801 Samsung greater-demon 0.201269 0.071804
1718469445.938 Samsung greater-demon 0.204502 0.077499
1718469456.078 Samsung greater-demon 0.204465 0.077712
1718469466.214 Samsung greater-demon 0.202763 0.074693
1718469476.354 Samsung greater-demon 0.205196 0.080162
1718469486.49 Samsung greater-demon 0.203121 0.075905
1718469496.629 Samsung greater-demon 0.202855 0.076861
1718469506.765 Samsung greater-demon 0.202973 0.075151
1718469516.903 Samsung greater-demon 0.202836 0.075045
1718469527.041 Samsung greater-demon 0.204985 0.078448
1718469537.18 Samsung greater-demon 0.204868 0.077134
1718469547.316 Samsung greater-demon 0.204564 0.076884
1718469557.455 Samsung greater-demon 0.205544 0.078319
1718469567.591 Samsung greater-demon 0.203316 0.073293
1718469577.73 Samsung greater-demon 0.203381 0.075805
1718469587.869 Samsung greater-demon 0.205071 0.078581
1718469598.005 Samsung greater-demon 0.202658 0.072871
1718469608.143 Samsung greater-demon 0.205653 0.078985
1718469618.28 Samsung greater-demon 0.204819 0.076816
1718469628.418 Samsung greater-demon 0.205895 0.077116
1718469638.556 Samsung greater-demon 0.203373 0.075253
1718469648.694 Samsung greater-demon 0.204356 0.075922
1718469658.833 Samsung greater-demon 0.205584 0.078224
1718469668.97 Samsung greater-demon 0.205501 0.076216
1718469679.11 Samsung greater-demon 0.205240 0.078998
1718469689.244 Samsung greater-demon 0.203908 0.073671
1718469699.382 Samsung greater-demon 0.206780 0.079125
1718469709.519 Samsung greater-demon 0.206342 0.077727
1718469719.658 Samsung greater-demon 0.207797 0.083451
1718469729.795 Samsung greater-demon 0.204878 0.075418
1718469739.935 Samsung greater-demon 0.205748 0.077877
1718469750.073 Samsung greater-demon 0.205594 0.076846
1718469760.209 Samsung greater-demon 0.205648 0.074944
1718469770.346 Samsung greater-demon 0.203725 0.072943
1718469780.486 Samsung greater-demon 0.205337 0.076363
1718469790.621 Samsung greater-demon 0.204906 0.074989
1718469800.76 Samsung greater-demon 0.206087 0.079126
1718469810.899 Samsung greater-demon 0.206543 0.078859
1718469821.035 Samsung greater-demon 0.205322 0.075934
1718469831.172 Samsung greater-demon 0.206496 0.078381
1718469841.309 Samsung greater-demon 0.209478 0.081660
1718469851.448 Samsung greater-demon 0.207102 0.079081
1718469861.588 Samsung greater-demon 0.206354 0.077818
1718469871.722 Samsung greater-demon 0.204327 0.071181
1718469881.861 Samsung greater-demon 0.207394 0.079277
1718469891.997 Samsung greater-demon 0.207346 0.076995
1718469902.138 Samsung greater-demon 0.206494 0.079690
1718469912.276 Samsung greater-demon 0.206365 0.077262
1718469922.413 Samsung greater-demon 0.204048 0.073944
1718469932.549 Samsung greater-demon 0.205843 0.075693
1718469942.689 Samsung greater-demon 0.207627 0.078497
1718469952.827 Samsung greater-demon 0.206259 0.076431
1718469962.963 Samsung greater-demon 0.203651 0.072235
1718469973.1 Samsung greater-demon 0.206763 0.077348
1718469983.239 Samsung greater-demon 0.205424 0.076046
1718469993.375 Samsung greater-demon 0.206896 0.075867
1718470003.515 Samsung greater-demon 0.206817 0.079110
1718470013.599 Samsung greater-demon 0.181977 0.025312
1718470023.689 Samsung greater-demon 0.183246 0.030176
1718470033.826 Samsung greater-demon 0.207778 0.076841
1718470043.901 Samsung greater-demon 0.176943 0.015890
1718470053.997 Samsung greater-demon 0.186717 0.036052
1718470064.138 Samsung greater-demon 0.207986 0.081546
1718470074.273 Samsung greater-demon 0.205758 0.074748
1718470084.413 Samsung greater-demon 0.207649 0.079924
1718470094.551 Samsung greater-demon 0.206710 0.076558
1718470104.63 Samsung greater-demon 0.175785 0.016426
1718470114.721 Samsung greater-demon 0.184286 0.030783
1718470124.861 Samsung greater-demon 0.207245 0.078511
1718470134.996 Samsung greater-demon 0.207005 0.077243
1718470145.135 Samsung greater-demon 0.205810 0.076536
1718470155.272 Samsung greater-demon 0.206274 0.074985
1718470165.412 Samsung greater-demon 0.207740 0.079221
1718470175.547 Samsung greater-demon 0.205581 0.074168
1718470185.688 Samsung greater-demon 0.206782 0.078215
1718470195.823 Samsung greater-demon 0.205959 0.075406
1718470205.96 Samsung greater-demon 0.204978 0.076908
1718470216.098 Samsung greater-demon 0.205046 0.074594
1718470226.239 Samsung greater-demon 0.206218 0.078157
1718470236.376 Samsung greater-demon 0.205758 0.076548
1718470246.514 Samsung greater-demon 0.206406 0.077644
1718470256.651 Samsung greater-demon 0.205237 0.074008
1718470266.789 Samsung greater-demon 0.205360 0.075487
1718470276.924 Samsung greater-demon 0.205184 0.074278
1718470287.067 Samsung greater-demon 0.209408 0.083362
1718470297.202 Samsung greater-demon 0.204062 0.073588
1718470307.337 Samsung greater-demon 0.206092 0.075322
1718470317.414 Samsung greater-demon 0.175640 0.015764
1718470327.514 Samsung greater-demon 0.186692 0.040225
1718470337.65 Samsung greater-demon 0.205299 0.074458
1718470347.787 Samsung greater-demon 0.204052 0.075220
1718470357.924 Samsung greater-demon 0.204541 0.075097
1718470368.064 Samsung greater-demon 0.207540 0.081438
1718470378.199 Samsung greater-demon 0.205040 0.076446
1718470388.339 Samsung greater-demon 0.206839 0.080259
1718470398.475 Samsung greater-demon 0.205113 0.076732
1718470408.615 Samsung greater-demon 0.204833 0.077020
1718470418.751 Samsung greater-demon 0.205493 0.077536
1718470428.887 Samsung greater-demon 0.204474 0.074263
1718470439.028 Samsung greater-demon 0.206085 0.078865
1718470449.164 Samsung greater-demon 0.204025 0.075215
1718470459.301 Samsung greater-demon 0.206177 0.078511
1718470469.44 Samsung greater-demon 0.204052 0.076779
1718470479.577 Samsung greater-demon 0.204879 0.077131
1718470489.714 Samsung greater-demon 0.203783 0.074647
1718470499.851 Samsung greater-demon 0.205514 0.076604
1718470509.991 Samsung greater-demon 0.204525 0.078418
1718470520.13 Samsung greater-demon 0.205455 0.078510
1718470530.266 Samsung greater-demon 0.202036 0.072497
1718470540.403 Samsung greater-demon 0.204655 0.076740
1718470550.54 Samsung greater-demon 0.205571 0.077038
1718470560.678 Samsung greater-demon 0.205483 0.076737
1718470570.819 Samsung greater-demon 0.204515 0.078134
1718470580.956 Samsung greater-demon 0.204702 0.077639
1718470591.092 Samsung greater-demon 0.202770 0.074913
1718470601.231 Samsung greater-demon 0.205350 0.077607
1718470611.367 Samsung greater-demon 0.202539 0.072849
1718470621.506 Samsung greater-demon 0.205938 0.077179
1718470631.645 Samsung greater-demon 0.205378 0.078228
1718470641.722 Samsung greater-demon 0.174343 0.015336
1718470651.814 Samsung greater-demon 0.183989 0.032896
1718470661.955 Samsung greater-demon 0.209423 0.084998
1718470672.092 Samsung greater-demon 0.204436 0.075561
1718470682.23 Samsung greater-demon 0.206309 0.078468
1718470692.367 Samsung greater-demon 0.203930 0.076241
1718470702.506 Samsung greater-demon 0.205069 0.077048
1718470712.645 Samsung greater-demon 0.203475 0.076912
1718470722.779 Samsung greater-demon 0.202366 0.071676
1718470732.848 Samsung greater-demon 0.170253 0.007375
1718470742.953 Samsung greater-demon 0.187412 0.041885
1718470753.09 Samsung greater-demon 0.204945 0.076740
1718470763.229 Samsung greater-demon 0.206318 0.077637
1718470773.368 Samsung greater-demon 0.204396 0.075572
1718470783.503 Samsung greater-demon 0.203686 0.073841
1718470793.642 Samsung greater-demon 0.204643 0.077729
1718470803.779 Samsung greater-demon 0.205363 0.077611
1718470813.919 Samsung greater-demon 0.206143 0.079387
1718470824.054 Samsung greater-demon 0.204596 0.075644
1718470834.192 Samsung greater-demon 0.204626 0.075329
1718470844.332 Samsung greater-demon 0.206464 0.079385
1718470854.469 Samsung greater-demon 0.205467 0.075221
1718470864.607 Samsung greater-demon 0.206730 0.077205
1718470874.745 Samsung greater-demon 0.204392 0.074556
1718470884.883 Samsung greater-demon 0.204775 0.075884
1718470895.019 Samsung greater-demon 0.203156 0.074248
1718470905.156 Samsung greater-demon 0.205624 0.077404
1718470915.296 Samsung greater-demon 0.206307 0.079277
1718470925.43 Samsung greater-demon 0.204978 0.074342
1718470935.57 Samsung greater-demon 0.205447 0.079649
1718470945.708 Samsung greater-demon 0.206641 0.077747
1718470955.844 Samsung greater-demon 0.205224 0.075102
1718470965.984 Samsung greater-demon 0.207952 0.081046
1718470976.12 Samsung greater-demon 0.204393 0.075957
1718470986.258 Samsung greater-demon 0.204665 0.076366
1718470996.396 Samsung greater-demon 0.204814 0.078360
1718471006.533 Samsung greater-demon 0.204469 0.076060
1718471016.673 Samsung greater-demon 0.205276 0.077997
1718471026.811 Samsung greater-demon 0.204912 0.076928
1718471036.948 Samsung greater-demon 0.204769 0.076432
1718471047.085 Samsung greater-demon 0.205159 0.075684
1718471057.221 Samsung greater-demon 0.203534 0.073660
1718471067.361 Samsung greater-demon 0.206412 0.079380
1718471077.5 Samsung greater-demon 0.204235 0.077358
1718471087.635 Samsung greater-demon 0.204070 0.075341
1718471097.776 Samsung greater-demon 0.204469 0.077757
1718471107.91 Samsung greater-demon 0.203513 0.073976
1718471118.048 Samsung greater-demon 0.205598 0.077455
1718471128.187 Samsung greater-demon 0.205526 0.076375
