timestamp clientname srvname delta delta_prec
1718471881.556483 raspi 10.42.0.1 +2171.449517 0.001131
1718471893.39778 raspi 10.42.0.1 +2171.449361 0.001614
1718471905.251885 raspi 10.42.0.1 +2171.448309 0.001033
1718471917.111234 raspi 10.42.0.1 +2171.448382 0.001615
1718471928.990044 raspi 10.42.0.1 +2171.447806 0.001572
1718471940.851574 raspi 10.42.0.1 +2171.446645 0.001101
1718471952.703212 raspi 10.42.0.1 +2171.446755 0.001575
1718471964.560519 raspi 10.42.0.1 +2171.445649 0.001041
1718471976.408594 raspi 10.42.0.1 +2171.445171 0.001020
1718471988.280933 raspi 10.42.0.1 +2171.445165 0.001558
1718472000.136524 raspi 10.42.0.1 +2171.444761 0.001678
1718472011.986154 raspi 10.42.0.1 +2171.444258 0.001670
1718472023.860451 raspi 10.42.0.1 +2171.443580 0.001567
1718472035.732947 raspi 10.42.0.1 +2171.443045 0.001580
1718472047.577724 raspi 10.42.0.1 +2171.442574 0.001610
1718472059.435007 raspi 10.42.0.1 +2171.441569 0.001128
1718472071.289686 raspi 10.42.0.1 +2171.441486 0.001573
1718472083.149689 raspi 10.42.0.1 +2171.440870 0.001679
1718472095.3487 raspi 10.42.0.1 +2171.439938 0.001038
1718472106.865282 raspi 10.42.0.1 +2171.439333 0.001035
1718472118.720638 raspi 10.42.0.1 +2171.439429 0.001622
1718472130.573859 raspi 10.42.0.1 +2171.438626 0.001347
1718472142.432177 raspi 10.42.0.1 +2171.438342 0.001566
1718472154.281009 raspi 10.42.0.1 +2171.437814 0.001567
1718472166.142869 raspi 10.42.0.1 +2171.437287 0.001577
1718472177.996735 raspi 10.42.0.1 +2171.436808 0.001626
1718472189.855619 raspi 10.42.0.1 +2171.435656 0.001123
1718472201.711654 raspi 10.42.0.1 +2171.435747 0.001570
1718472213.569196 raspi 10.42.0.1 +2171.435021 0.001374
1718472225.440518 raspi 10.42.0.1 +2171.434613 0.001528
1718472237.286913 raspi 10.42.0.1 +2171.433567 0.001027
1718472249.142795 raspi 10.42.0.1 +2171.433461 0.001678
1718472260.997545 raspi 10.42.0.1 +2171.432483 0.001043
1718472272.868042 raspi 10.42.0.1 +2171.432495 0.001570
1718472284.726519 raspi 10.42.0.1 +2171.431442 0.001063
1718472296.590931 raspi 10.42.0.1 +2171.431190 0.001478
1718472308.450765 raspi 10.42.0.1 +2171.430282 0.001134
1718472320.319751 raspi 10.42.0.1 +2171.429712 0.001113
1718472332.186843 raspi 10.42.0.1 +2171.429714 0.001473
1718472344.35635 raspi 10.42.0.1 +2171.428734 0.001068
1718472355.893852 raspi 10.42.0.1 +2171.428748 0.001559
1718472367.760648 raspi 10.42.0.1 +2171.428212 0.001576
1718472379.616565 raspi 10.42.0.1 +2171.427346 0.001341
1718472391.493811 raspi 10.42.0.1 +2171.427151 0.001560
1718472403.352478 raspi 10.42.0.1 +2171.426559 0.001604
1718472415.205788 raspi 10.42.0.1 +2171.426074 0.001571
1718472427.7183 raspi 10.42.0.1 +2171.425530 0.001577
1718472438.942538 raspi 10.42.0.1 +2171.424853 0.001463
1718472450.818206 raspi 10.42.0.1 +2171.424485 0.001571
1718472462.690216 raspi 10.42.0.1 +2171.423953 0.001569
1718472474.565309 raspi 10.42.0.1 +2171.423447 0.001687
1718472486.426452 raspi 10.42.0.1 +2171.422801 0.001493
1718472498.288517 raspi 10.42.0.1 +2171.422369 0.001571
1718472510.153594 raspi 10.42.0.1 +2171.421937 0.001685
1718472522.32649 raspi 10.42.0.1 +2171.420787 0.001020
1718472533.897227 raspi 10.42.0.1 +2171.420795 0.001566
1718472545.760088 raspi 10.42.0.1 +2171.420241 0.001579
1718472557.63672 raspi 10.42.0.1 +2171.419785 0.001637
1718472569.494864 raspi 10.42.0.1 +2171.419199 0.001573
1718472581.350982 raspi 10.42.0.1 +2171.418676 0.001588
1718472593.203396 raspi 10.42.0.1 +2171.418202 0.001618
1718472605.55692 raspi 10.42.0.1 +2171.417583 0.001607
1718472616.910921 raspi 10.42.0.1 +2171.416664 0.001127
1718472628.781169 raspi 10.42.0.1 +2171.416580 0.001571
1718472640.636366 raspi 10.42.0.1 +2171.415689 0.001149
1718472652.499589 raspi 10.42.0.1 +2171.414984 0.001038
1718472664.359579 raspi 10.42.0.1 +2171.414690 0.001240
1718472676.225025 raspi 10.42.0.1 +2171.414491 0.001571
1718472688.9537 raspi 10.42.0.1 +2171.414087 0.001687
1718472699.965842 raspi 10.42.0.1 +2171.413460 0.001565
1718472711.816306 raspi 10.42.0.1 +2171.412937 0.001573
1718472723.662674 raspi 10.42.0.1 +2171.412336 0.001529
1718472735.548905 raspi 10.42.0.1 +2171.411430 0.001030
1718472747.411243 raspi 10.42.0.1 +2171.411376 0.001571
1718472759.29338 raspi 10.42.0.1 +2171.410389 0.001028
1718472771.155738 raspi 10.42.0.1 +2171.410362 0.001628
1718472783.12048 raspi 10.42.0.1 +2171.409327 0.001028
1718472794.870727 raspi 10.42.0.1 +2171.409353 0.001622
1718472806.728605 raspi 10.42.0.1 +2171.408770 0.001572
1718472818.589069 raspi 10.42.0.1 +2171.408253 0.001561
1718472830.452939 raspi 10.42.0.1 +2171.407745 0.001560
1718472842.308694 raspi 10.42.0.1 +2171.407298 0.001656
1718472854.158329 raspi 10.42.0.1 +2171.406832 0.001653
1718472866.1583 raspi 10.42.0.1 +2171.406225 0.001626
1718472877.868706 raspi 10.42.0.1 +2171.405633 0.001610
1718472889.726731 raspi 10.42.0.1 +2171.404707 0.001136
1718472901.579324 raspi 10.42.0.1 +2171.404078 0.001056
1718472913.444646 raspi 10.42.0.1 +2171.404124 0.001571
1718472925.313979 raspi 10.42.0.1 +2171.403596 0.001588
1718472937.169119 raspi 10.42.0.1 +2171.403099 0.001579
1718472949.32114 raspi 10.42.0.1 +2171.402507 0.001642
1718472960.88285 raspi 10.42.0.1 +2171.402077 0.001571
1718472972.749842 raspi 10.42.0.1 +2171.401081 0.001121
1718472984.605301 raspi 10.42.0.1 +2171.401051 0.001565
1718472996.475237 raspi 10.42.0.1 +2171.400529 0.001575
1718473008.331011 raspi 10.42.0.1 +2171.399990 0.001582
1718473020.18335 raspi 10.42.0.1 +2171.399505 0.001586
1718473032.43916 raspi 10.42.0.1 +2171.398989 0.001561
1718473043.904312 raspi 10.42.0.1 +2171.398512 0.001616
1718473055.762308 raspi 10.42.0.1 +2171.397979 0.001571
1718473067.631393 raspi 10.42.0.1 +2171.397503 0.001612
1718473079.503092 raspi 10.42.0.1 +2171.397015 0.001619
1718473091.35776 raspi 10.42.0.1 +2171.396508 0.001625
1718473103.219789 raspi 10.42.0.1 +2171.395927 0.001600
1718473115.80359 raspi 10.42.0.1 +2171.395436 0.001582
1718473126.933113 raspi 10.42.0.1 +2171.394437 0.001024
