interval,device,drift
Durchschnitt,Lenovo,-0.000517460139677545
Zimmertemperatur 1,Lenovo,-0.000502224584638117
Kühlschrank,Lenovo,-0.00051529373233223
Zimmertemperatur 2,Lenovo,-0.000535433481893437
Backofen,Lenovo,-0.000520318553292587
Durchschnitt,Raspberry Pi,-4.41E-05
Zimmertemperatur 1,Raspberry Pi,-4.19E-05
Kühlschrank,Raspberry Pi,-4.41E-05
Zimmertemperatur 2,Raspberry Pi,-4.15E-05
Backofen,Raspberry Pi,-4.40E-05
Durchschnitt,Samsung,1.31E-06
Zimmertemperatur 1,Samsung,3.66E-05
Kühlschrank,Samsung,1.91E-07
Zimmertemperatur 2,Samsung,1.19E-05
Backofen,Samsung,4.20E-06
